filename,total_words,english_only,danish_only,ambiguous,neither
output_FAQ_20250611_125125_1.txt,412,16,247,133,16
output_FAQ_20250611_125134_2.txt,267,0,183,82,2
output_FAQ_20250611_125144_3.txt,361,0,197,160,4
output_FAQ_20250611_125155_4.txt,404,0,253,148,3
output_FAQ_20250611_125205_5.txt,280,1,168,96,15
output_FAQ_20250611_125215_6.txt,332,11,175,126,20
output_FAQ_20250611_125224_7.txt,145,5,74,56,10
output_FAQ_20250611_125233_8.txt,307,0,196,106,5
output_FAQ_20250611_125241_9.txt,134,6,78,47,3
output_FAQ_20250611_125250_10.txt,309,1,186,114,8
output_FAQ_20250611_125301_11.txt,401,0,255,143,3
output_FAQ_20250611_125313_12.txt,314,0,164,128,22
output_FAQ_20250611_125323_13.txt,394,0,226,164,4
output_FAQ_20250611_125333_14.txt,387,0,210,170,7
output_FAQ_20250611_125346_15.txt,449,0,265,178,6
output_FAQ_20250611_125358_16.txt,419,0,297,119,3
output_FAQ_20250611_125409_17.txt,380,0,241,133,6
output_FAQ_20250611_125419_18.txt,418,1,245,146,26
output_FAQ_20250611_125430_19.txt,443,0,277,163,3
output_FAQ_20250611_125441_20.txt,361,0,229,127,5
output_FAQ_20250611_125446_21.txt,50,0,34,16,0
output_FAQ_20250611_125454_22.txt,124,0,72,51,1
output_FAQ_20250611_125504_23.txt,221,0,131,86,4
output_FAQ_20250611_125510_24.txt,94,0,64,28,2
output_FAQ_20250611_125520_25.txt,336,0,196,138,2
output_FAQ_20250611_125529_26.txt,278,0,171,101,6
output_FAQ_20250611_125537_27.txt,297,0,162,130,5
output_FAQ_20250611_125545_28.txt,282,163,5,91,23
output_FAQ_20250611_125549_29.txt,35,0,24,11,0
output_FAQ_20250611_125558_30.txt,268,0,155,112,1
output_FAQ_20250611_130807_1.txt,392,7,244,134,7
output_FAQ_20250611_130816_2.txt,257,0,159,95,3
output_FAQ_20250611_130825_3.txt,361,3,218,137,3
output_FAQ_20250611_130837_4.txt,434,0,266,163,5
output_FAQ_20250611_130848_5.txt,316,1,205,96,14
output_FAQ_20250611_130858_6.txt,302,7,145,126,24
output_FAQ_20250611_130907_7.txt,148,7,72,56,13
output_FAQ_20250611_130917_8.txt,373,0,242,123,8
output_FAQ_20250611_130924_9.txt,111,5,68,37,1
output_FAQ_20250611_130934_10.txt,320,0,179,131,10
output_FAQ_20250611_130946_11.txt,403,0,261,139,3
output_FAQ_20250611_130958_12.txt,251,0,141,93,17
output_FAQ_20250611_131008_13.txt,349,0,189,151,9
output_FAQ_20250611_131018_14.txt,336,0,193,133,10
output_FAQ_20250611_131030_15.txt,441,0,267,166,8
output_FAQ_20250611_131042_16.txt,460,0,309,148,3
output_FAQ_20250611_131054_17.txt,402,0,252,145,5
output_FAQ_20250611_131105_18.txt,414,0,250,140,24
output_FAQ_20250611_131117_19.txt,480,1,310,164,5
output_FAQ_20250611_131128_20.txt,394,1,259,128,6
output_FAQ_20250611_131133_21.txt,48,0,34,14,0
output_FAQ_20250611_131140_22.txt,104,0,62,40,2
output_FAQ_20250611_131148_23.txt,190,0,119,66,5
output_FAQ_20250611_131154_24.txt,84,0,53,27,4
output_FAQ_20250611_131203_25.txt,323,0,189,134,0
output_FAQ_20250611_131212_26.txt,290,0,182,107,1
output_FAQ_20250611_131221_27.txt,314,0,178,135,1
output_FAQ_20250611_131229_28.txt,318,185,6,111,16
output_FAQ_20250611_131234_29.txt,33,0,21,12,0
output_FAQ_20250611_131242_30.txt,253,0,150,100,3
output_FAQ_20250611_132449_1.txt,462,10,276,159,17
output_FAQ_20250611_132457_2.txt,256,0,182,71,3
output_FAQ_20250611_132507_3.txt,343,0,197,143,3
output_FAQ_20250611_132518_4.txt,414,0,252,158,4
output_FAQ_20250611_132528_5.txt,300,1,186,97,16
output_FAQ_20250611_132540_6.txt,449,9,254,161,25
output_FAQ_20250611_132549_7.txt,135,5,66,51,13
output_FAQ_20250611_132558_8.txt,345,0,222,121,2
output_FAQ_20250611_132606_9.txt,116,6,67,42,1
output_FAQ_20250611_132616_10.txt,313,0,188,115,10
output_FAQ_20250611_132628_11.txt,461,0,272,186,3
output_FAQ_20250611_132639_12.txt,269,2,135,97,35
output_FAQ_20250611_132649_13.txt,419,0,244,173,2
output_FAQ_20250611_132700_14.txt,386,0,212,162,12
